DB00697	M
DB00698	J
DB00699	C
DB00700	C
DB00701	J
DB00702	-
DB00703	S
DB00704	A N
DB00705	J
DB00706	G
DB00707	L
DB00708	N
DB00709	J
DB00710	M
DB00711	P
DB00712	S M R
DB00713	J
DB00714	N G
DB00715	N
DB00716	S R
DB00717	G
DB00718	J
DB00719	R
DB00720	M
DB00721	S N C
DB00722	C
DB00723	C
DB00724	D
DB00725	A
DB00726	N
DB00727	C
DB00728	M
DB00729	-
DB00730	D P
DB00731	A
DB00732	-
DB00733	V
DB00734	N
DB00735	D
DB00736	A M
DB00737	R
DB00738	P
DB00739	J
DB00740	N
DB00741	S H A D C R
DB00742	A R B
DB00743	V
DB00744	-
DB00745	N
DB00746	V
DB00747	S A N
DB00748	R
DB00749	M
DB00750	N
DB00751	S R
DB00752	N
DB00753	N
DB00754	N
DB00755	D L
DB00756	D
DB00757	A
DB00758	B
DB00759	S A J D
DB00760	J
DB00761	A B
DB00762	L
DB00763	H
DB00764	D R
DB00765	C
DB00766	-
DB00767	-
DB00768	S R
DB00769	-
DB00770	C G
DB00771	A
DB00772	P
DB00773	L
DB00774	C G
DB00775	B
DB00776	N
DB00777	N
DB00778	J
DB00779	J
DB00780	N
DB00781	S A J
DB00782	A
DB00783	G
DB00784	M
DB00785	-
DB00786	-
DB00787	S J D
DB00788	M G
DB00789	-
DB00790	C
DB00791	-
DB00792	D R
DB00793	D
DB00794	N
DB00795	A G
DB00796	C
DB00797	M C
DB00798	S J D
DB00799	D
DB00800	C
DB00801	N
DB00802	N
DB00803	A J
DB00804	A
DB00805	N
DB00806	C R
DB00807	S
DB00808	C G
DB00809	S
DB00810	N
DB00811	J
DB00812	M
DB00813	N
DB00814	M
DB00815	-
DB00816	R
DB00817	J
DB00818	N
DB00819	S
DB00820	G
DB00821	-
DB00822	N P
DB00823	-
DB00824	-
DB00825	-
DB00826	S A D G
DB00827	J
DB00828	J
DB00829	N
DB00830	-
DB00831	N
DB00832	N
DB00833	J
DB00834	G
DB00835	R
DB00836	A
DB00837	N
DB00838	D
DB00839	A
DB00840	-
DB00841	C
DB00842	N
DB00843	N
DB00844	N
DB00845	J
DB00846	D
DB00847	S A
DB00848	P
DB00849	N
