DB00261	1	L01XX35
DB00262	1	L01AD01
DB00263	3	G01AE10 J01EB05 S01AB02
DB00264	6	C07AB02 C07AB52 C07BB02 C07BB52 C07CB02 C07FB02
DB00266	1	B01AA01
DB00267	1	J01DD05
DB00268	1	N04BC04
DB00269	1	G03CA06
DB00270	1	C08CA03
DB00271	1	V08AA01
DB00272	1	V04CG02
DB00273	1	N03AX11
DB00274	1	J01DC09
DB00275	4	C09CA08 C09DA08 C09DB02 C09DX03
DB00276	1	L01XX01
DB00277	5	R03DA04 R03DA20 R03DA54 R03DA74 R03DB04
DB00278	1	B01AE03
DB00279	2	H03AA02 H03AA03
DB00280	1	C01BA03
DB00281	8	C01BB01 C05AD01 D04AB01 N01BB02 N01BB52 R02AD02 S01HA07 S02DA01
DB00282	1	M05BA03
DB00283	3	D04AA14 R06AA04 R06AA54
DB00284	2	A10BD17 A10BF01
DB00285	1	N06AX16
DB00286	2	G03CA57 G03CC07
DB00287	1	S01EE04
DB00288	1	D07AC11
DB00289	1	N06BA09
DB00290	1	L01DC01
DB00291	1	L01AA02
DB00292	1	N01AX07
DB00293	1	L01BA03
DB00294	1	G03AC08
DB00295	4	A07DA52 N02AA01 N02AA51 N02AG01
DB00296	1	N01BB09
DB00297	2	N01BB01 N01BB51
DB00298	1	S01EX02
DB00299	2	D06BB06 J05AB13
DB00300	7	J05AF07 J05AR03 J05AR06 J05AR08 J05AR09 J05AR11 J05AR12
DB00301	2	J01CF05 J01CR50
DB00302	1	B02AA02
DB00303	1	J01DH03
DB00304	4	G03AA09 G03AB05 G03AC09 G03FB10
DB00305	1	L01DC03
DB00306	1	N05CA07
DB00307	1	L01XX25
DB00308	1	C01BD05
DB00309	1	L01CA03
DB00310	4	C03BA04 C03BB04 C03EA06 G01AE10
DB00312	2	N05CA01 N05CB01
DB00313	1	N03AG01
DB00314	1	J04AB30
DB00315	1	N02CC03
DB00316	3	N02BE01 N02BE51 N02BE71
DB00317	1	L01XE02
DB00318	3	N02AA59 N02AA79 R05DA04
DB00319	3	J01CA12 J01CR05 J01CR50
DB00320	2	N02CA01 N02CA51
DB00321	2	N06AA09 N06CA01
DB00323	1	N04BX01
DB00324	9	C05AA06 D07AB06 D07CB03 D07XB04 D10AA01 S01BA07 S01BB03 S01CA07 S01CB05
DB00325	1	C02DD01
DB00326	1	A12AA10
DB00327	2	N02AA03 N02AG04
DB00328	6	C01EB03 M01AB01 M01AB51 M02AA23 S01BC01 S01CC02
DB00330	3	J04AK02 J04AM03 J04AM06
DB00331	15	A10BA02 A10BD02 A10BD03 A10BD05 A10BD07 A10BD08 A10BD10 A10BD11 A10BD13 A10BD14 A10BD15 A10BD16 A10BD17 A10BD18 A10BD20
DB00332	4	R01AX03 R03AL01 R03AL02 R03BB01
DB00333	2	N02AC52 N07BC02
DB00334	1	N05AH03
DB00335	6	C07AB03 C07BB03 C07CB03 C07CB53 C07DB01 C07FB03
DB00336	6	B05CA03 D08AF01 D09AA03 P01CC02 S01AX04 S02AA02
DB00337	1	D11AH02
DB00338	3	A02BC01 A02BD01 A02BD05
DB00339	3	J04AK01 J04AM05 J04AM06
DB00340	1	N04AA03
DB00341	1	R06AE07
DB00342	1	R06AX12
DB00343	2	C05AE03 C08DB01
DB00344	1	N06AA11
DB00345	1	V04CH30
DB00346	2	G04CA01 G04CA51
DB00347	1	N03AC02
DB00348	1	A16AX04
DB00349	1	N05BA09
DB00350	2	C02DC01 D11AX01
DB00351	7	G03AA04 G03AB01 G03AC05 G03DB02 G03FA08 G03FB04 L02AB01
DB00352	1	L01BB03
DB00353	2	G02AB01 G02AC01
DB00354	2	R06AE01 R06AE51
DB00355	1	J01DF01
DB00356	3	M03BB03 M03BB53 M03BB73
DB00357	1	L02BG01
DB00358	2	P01BC02 P01BF02
DB00359	4	G01AE10 J01EC02 J01EE02 J01EE06
DB00360	1	A16AX07
DB00361	1	L01CA04
DB00362	1	J02AX06
DB00363	1	N05AH02
DB00364	1	A02BX02
DB00365	1	J01MA11
DB00366	2	R06AA09 R06AA59
DB00367	6	G03AA07 G03AB03 G03AC03 G03AD01 G03FA11 G03FB09
DB00368	1	C01CA03
DB00369	1	J05AB12
DB00370	1	N06AX11
DB00371	3	N05BC01 N05BC51 N05CX01
DB00372	1	R06AD03
DB00373	5	C07AA06 C07BA06 C07DA06 S01ED01 S01ED51
DB00374	1	B01AC21
DB00375	1	C10AC02
DB00376	1	N04AA01
DB00377	2	A04AA05 A04AA55
DB00378	3	G03DB01 G03FA14 G03FB08
DB00379	1	C01BB02
